time,latlng,distance,altitude,velocity_smooth,heartrate,grade_smooth
8,"[32.588771, -110.746325]",0.0,1461.0,0.001,110,-6.0
18,"[32.588604, -110.745935]",41.1,1458.7,4.584,121,-4.9
31,"[32.588395, -110.745476]",90.0,1456.9,3.69,132,-2.5
40,"[32.58825, -110.745154]",124.4,1456.2,3.819,137,-1.8
53,"[32.587998, -110.744713]",174.4,1455.4,3.886,141,-1.4
61,"[32.587862, -110.744433]",204.8,1455.0,3.788,142,-1.2
76,"[32.587593, -110.743935]",260.2,1454.3,3.714,145,-1.4
88,"[32.587397, -110.743531]",304.0,1453.6,3.639,154,-1.6
98,"[32.587226, -110.74319]",341.1,1453.0,3.714,155,-1.0
109,"[32.587047, -110.742823]",381.0,1452.8,3.625,156,-0.5
122,"[32.586853, -110.742365]",429.1,1452.5,3.686,156,-0.9
132,"[32.586697, -110.742019]",465.9,1452.0,3.7,157,-1.2
144,"[32.586513, -110.741631]",507.7,1451.5,3.491,157,-0.8
157,"[32.58628, -110.741206]",555.3,1451.6,3.789,158,1.6
166,"[32.586104, -110.740923]",588.2,1452.4,3.661,156,3.3
180,"[32.585758, -110.740504]",643.2,1454.5,3.924,156,3.7
191,"[32.585497, -110.740209]",683.3,1455.8,3.687,154,2.7
201,"[32.585252, -110.739927]",721.2,1456.5,3.754,159,-1.1
212,"[32.585138, -110.739506]",763.8,1454.4,4.07,160,-7.9
221,"[32.585227, -110.739162]",797.8,1451.5,3.703,159,-8.1
233,"[32.585401, -110.738724]",843.4,1447.9,3.797,159,-7.9
247,"[32.585569, -110.73821]",895.2,1443.8,3.68,161,-8.0
260,"[32.585752, -110.73771]",946.3,1439.9,3.981,161,-7.5
269,"[32.585869, -110.737369]",980.8,1437.3,3.84,162,-7.6
278,"[32.586002, -110.737039]",1015.1,1434.7,3.81,163,-7.3
289,"[32.586156, -110.73664]",1056.4,1431.8,3.674,164,-6.8
302,"[32.586418, -110.736221]",1105.3,1428.5,3.696,164,-6.8
312,"[32.586638, -110.735924]",1142.3,1426.0,3.684,164,-6.7
327,"[32.587072, -110.735643]",1197.7,1422.2,3.751,165,-6.7
337,"[32.587389, -110.735517]",1234.8,1419.8,3.744,165,-6.6
350,"[32.587777, -110.735272]",1284.6,1416.6,3.857,168,-6.4
357,"[32.587905, -110.735018]",1312.5,1414.8,3.981,169,-6.2
368,"[32.588037, -110.734591]",1355.2,1412.2,3.88,171,-6.6
379,"[32.588299, -110.734274]",1397.6,1409.1,3.929,175,-6.4
392,"[32.588721, -110.734057]",1448.6,1406.1,3.961,179,-5.6
404,"[32.589101, -110.733878]",1493.9,1403.6,3.796,179,-5.9
413,"[32.589376, -110.733725]",1527.7,1401.5,3.749,175,-6.1
426,"[32.589754, -110.733466]",1576.2,1398.5,3.623,172,-6.1
435,"[32.58999, -110.733241]",1610.0,1396.5,3.611,168,-5.9
448,"[32.590272, -110.732807]",1661.5,1393.6,4.041,167,-5.3
456,"[32.590417, -110.732531]",1692.0,1392.0,3.815,166,-5.3
469,"[32.590671, -110.73208]",1743.0,1389.3,3.906,165,-5.3
478,"[32.590908, -110.731843]",1777.6,1387.3,3.854,166,-5.4
491,"[32.591335, -110.731708]",1826.9,1384.7,3.643,173,-5.2
500,"[32.591625, -110.731664]",1859.2,1383.0,3.671,173,-5.3
517,"[32.592156, -110.731587]",1918.9,1380.3,3.391,167,-3.9
528,"[32.592458, -110.731341]",1959.9,1378.7,3.734,163,-4.0
538,"[32.592676, -110.73105]",1996.4,1377.2,3.651,164,-4.1
549,"[32.592912, -110.73073]",2036.3,1375.5,3.702,163,-4.5
562,"[32.593232, -110.73042]",2082.7,1373.3,3.617,163,-4.6
572,"[32.593555, -110.730356]",2119.4,1371.7,3.643,164,-3.0
586,"[32.593714, -110.729856]",2174.1,1371.1,3.961,167,0.5
597,"[32.593779, -110.72964]",2209.9,1371.3,2.981,167,-1.0
604,"[32.59374, -110.729986]",2242.6,1371.0,4.674,165,-0.3
619,"[32.59369, -110.730626]",2303.0,1371.3,3.862,165,1.0
627,"[32.593678, -110.730946]",2333.1,1371.7,3.76,167,1.4
638,"[32.593658, -110.731367]",2372.7,1372.3,3.6,167,1.6
654,"[32.593621, -110.732014]",2433.5,1373.3,3.853,168,1.4
661,"[32.593606, -110.732301]",2460.5,1373.6,3.861,168,0.7
672,"[32.593586, -110.732746]",2502.3,1373.8,3.8,171,0.6
686,"[32.593561, -110.733312]",2555.6,1374.3,3.805,172,0.9
694,"[32.593563, -110.733636]",2586.1,1374.5,3.806,170,1.0
705,"[32.593547, -110.734073]",2627.1,1375.0,3.734,169,1.8
716,"[32.59358, -110.734499]",2667.4,1376.0,3.655,169,3.2
733,"[32.593722, -110.73513]",2728.7,1379.0,3.629,175,5.8
745,"[32.593907, -110.735551]",2773.3,1381.7,3.718,175,6.4
752,"[32.594084, -110.735743]",2800.1,1383.6,3.823,173,6.9
767,"[32.594547, -110.735984]",2856.2,1387.0,3.788,171,4.4
775,"[32.594775, -110.736144]",2885.8,1388.0,3.691,170,2.5
789,"[32.595158, -110.736477]",2938.4,1388.5,3.76,174,-0.3
798,"[32.59542, -110.736673]",2972.9,1387.5,3.903,172,-3.2
808,"[32.595746, -110.736853]",3012.8,1386.3,3.988,171,-1.1
819,"[32.596087, -110.737028]",3054.0,1387.0,3.809,177,3.5
832,"[32.596455, -110.737334]",3104.0,1389.7,3.799,180,3.9
844,"[32.596762, -110.737661]",3150.0,1390.6,3.851,173,0.4
856,"[32.597053, -110.738014]",3196.2,1390.4,3.896,172,-0.6
866,"[32.59727, -110.738313]",3233.2,1390.2,3.705,174,0.0
878,"[32.597506, -110.738688]",3277.1,1390.4,3.654,178,0.9
887,"[32.597671, -110.738976]",3309.8,1390.9,3.632,180,2.3
897,"[32.597885, -110.739291]",3347.6,1392.0,3.787,179,2.3
911,"[32.598238, -110.739674]",3400.9,1392.8,3.793,178,1.7
922,"[32.598531, -110.739943]",3442.1,1393.7,3.746,176,2.7
935,"[32.598865, -110.740235]",3488.1,1395.3,3.564,175,3.3
948,"[32.599174, -110.740579]",3535.2,1396.4,3.701,174,1.8
959,"[32.599444, -110.740879]",3576.3,1397.1,3.735,175,1.7
969,"[32.599678, -110.741149]",3612.6,1397.7,3.631,173,1.4
983,"[32.599999, -110.741561]",3665.1,1398.1,3.759,175,0.9
989,"[32.600127, -110.741739]",3687.0,1398.4,3.706,174,0.8
1005,"[32.600493, -110.742242]",3749.4,1398.9,3.838,174,1.1
1015,"[32.600689, -110.742552]",3785.7,1399.4,3.631,174,1.8
1025,"[32.600858, -110.742882]",3821.9,1400.3,3.624,174,2.9
1040,"[32.601079, -110.743376]",3874.4,1401.7,3.437,178,2.1
1046,"[32.601208, -110.743582]",3898.4,1401.9,4.026,180,-0.6
1061,"[32.601565, -110.744021]",3955.6,1400.3,3.762,179,-4.5
1071,"[32.601806, -110.744324]",3994.7,1398.4,3.911,179,-5.5
1079,"[32.601999, -110.744574]",4026.4,1396.4,3.96,178,-6.4
1092,"[32.602357, -110.744935]",4078.9,1393.1,4.081,177,-5.7
1105,"[32.602778, -110.74518]",4131.0,1390.2,4.041,176,-5.7
1113,"[32.603049, -110.745253]",4161.9,1388.4,3.864,175,-5.6
1126,"[32.603527, -110.745321]",4215.4,1385.6,4.091,175,-4.5
1135,"[32.603849, -110.745353]",4251.2,1384.1,3.984,177,-4.3
1144,"[32.604166, -110.745392]",4286.5,1382.6,3.88,178,-4.7
1157,"[32.604575, -110.745663]",4339.3,1379.9,4.018,178,-4.3
1166,"[32.604748, -110.745973]",4374.2,1378.6,3.877,179,-3.8
1176,"[32.604871, -110.746367]",4413.6,1377.1,3.944,180,-5.0
1189,"[32.605073, -110.746862]",4465.3,1373.8,4.036,179,-6.1
1196,"[32.605226, -110.747131]",4495.8,1372.2,4.344,177,-2.8
1210,"[32.605568, -110.747582]",4552.7,1371.6,4.04,180,-0.4
1219,"[32.605836, -110.747839]",4591.0,1371.6,4.259,181,0.0
1229,"[32.606078, -110.748102]",4627.5,1371.6,3.647,181,0.4
1244,"[32.606453, -110.748475]",4681.8,1372.1,3.626,181,0.6
1254,"[32.606693, -110.748746]",4718.6,1372.2,3.78,184,-0.2
1264,"[32.606924, -110.749021]",4755.0,1372.1,3.639,183,-0.3
1278,"[32.607143, -110.749489]",4805.6,1372.0,3.67,181,1.6
1291,"[32.607267, -110.749981]",4853.8,1374.2,3.711,182,5.6
1301,"[32.607365, -110.750343]",4889.5,1376.5,3.565,182,6.4
1311,"[32.607496, -110.750699]",4925.9,1378.8,3.643,184,4.0
1322,"[32.607653, -110.751083]",4966.0,1380.1,3.643,182,1.6
1337,"[32.607796, -110.75166]",5022.5,1379.9,3.76,180,0.1
1346,"[32.607868, -110.752008]",5056.1,1380.2,3.736,181,1.3
1357,"[32.607955, -110.752452]",5098.9,1380.9,3.89,180,1.6
1367,"[32.608042, -110.752844]",5136.9,1381.5,3.804,178,1.1
1378,"[32.608127, -110.753279]",5178.9,1381.8,3.812,177,0.7
1393,"[32.608255, -110.753874]",5236.5,1382.1,3.857,180,-1.0
1401,"[32.608336, -110.754196]",5268.1,1381.4,3.943,178,-2.1
1411,"[32.608419, -110.754593]",5306.5,1380.6,3.84,179,-0.3
1423,"[32.608509, -110.755062]",5351.7,1381.6,3.72,181,3.8
1433,"[32.608587, -110.755442]",5388.4,1383.4,3.669,180,5.8
1447,"[32.608696, -110.755977]",5440.1,1387.0,3.707,180,6.7
1461,"[32.608813, -110.75649]",5490.0,1389.7,3.558,179,4.4
1470,"[32.608875, -110.756834]",5523.0,1390.5,3.655,178,1.2
1482,"[32.608941, -110.757305]",5567.8,1390.8,3.731,180,0.0
1495,"[32.608979, -110.757821]",5616.4,1390.2,3.787,180,-2.1
1506,"[32.609043, -110.758258]",5658.1,1389.2,3.786,177,-2.3
1515,"[32.609095, -110.758634]",5693.8,1388.4,3.969,177,-1.5
1526,"[32.609146, -110.759105]",5738.6,1388.2,4.016,177,-0.1
1535,"[32.609119, -110.759478]",5773.7,1388.2,3.908,176,-0.8
1548,"[32.609016, -110.759997]",5824.0,1386.5,3.844,173,-6.7
1556,"[32.608929, -110.760326]",5856.4,1383.8,4.043,175,-8.1
1568,"[32.608849, -110.760865]",5908.1,1380.0,4.267,179,-4.9
1577,"[32.60889, -110.761282]",5947.5,1378.5,4.381,181,-3.0
1587,"[32.608978, -110.761702]",5988.1,1377.6,4.063,183,-1.5
1601,"[32.60912, -110.762271]",6043.8,1377.3,3.936,181,-0.6
1608,"[32.609195, -110.762557]",6071.8,1377.1,4.013,181,-1.1
1622,"[32.609315, -110.76311]",6125.4,1376.4,3.811,180,-1.4
1632,"[32.609403, -110.763514]",6164.6,1375.9,3.916,181,-1.4
1642,"[32.609494, -110.763902]",6202.4,1375.3,3.784,180,-1.8
1653,"[32.609593, -110.764344]",6245.3,1374.4,3.955,179,-1.0
1666,"[32.609694, -110.764854]",6294.5,1374.7,3.76,181,0.9
1677,"[32.609794, -110.765286]",6336.5,1374.8,3.834,180,-0.2
1684,"[32.609883, -110.765555]",6363.8,1374.7,3.9,180,-0.3
1699,"[32.610106, -110.766126]",6423.2,1374.9,4.027,178,1.6
1706,"[32.610184, -110.766391]",6449.4,1375.5,3.751,179,2.0
1721,"[32.610389, -110.766955]",6507.1,1376.3,3.898,181,0.7
1730,"[32.610504, -110.767301]",6542.0,1376.4,3.878,179,-0.2
1742,"[32.610658, -110.767764]",6588.7,1376.1,3.889,180,-1.0
1752,"[32.610785, -110.768153]",6627.9,1375.5,3.915,179,-1.8
1763,"[32.610926, -110.768591]",6671.9,1374.6,4.002,180,-2.0
1775,"[32.611069, -110.769094]",6721.7,1373.6,4.158,177,-2.1
1784,"[32.611154, -110.769428]",6754.4,1373.0,3.614,174,-1.4
1794,"[32.611275, -110.769841]",6795.5,1372.7,4.156,172,0.2
1808,"[32.611412, -110.770377]",6848.0,1373.3,3.731,174,1.3
1818,"[32.611516, -110.770762]",6886.0,1373.8,3.8,175,1.1
1831,"[32.611658, -110.771239]",6933.5,1374.2,3.723,178,0.5
1838,"[32.611737, -110.771505]",6959.9,1374.2,3.774,176,-0.5
1852,"[32.611953, -110.772009]",7013.1,1373.5,3.801,171,-1.8
1863,"[32.612138, -110.772405]",7055.4,1372.7,3.849,170,-2.0
1875,"[32.612343, -110.772847]",7102.8,1371.6,4.008,175,-2.4
1886,"[32.612531, -110.773248]",7145.8,1370.6,3.896,175,-2.1
1896,"[32.612705, -110.773587]",7183.0,1369.9,3.728,176,-1.9
1909,"[32.612922, -110.774044]",7232.3,1368.9,3.801,175,-2.4
1917,"[32.613022, -110.774353]",7263.3,1368.1,3.889,174,-3.7
1931,"[32.613171, -110.774918]",7318.9,1365.6,3.965,176,-4.5
1941,"[32.613249, -110.775353]",7360.7,1363.8,4.174,176,-3.6
1951,"[32.613266, -110.775783]",7401.2,1363.1,4.14,172,-1.0
1958,"[32.613232, -110.776079]",7429.2,1363.0,4.0,169,1.1
1970,"[32.613104, -110.776555]",7476.1,1363.9,3.908,169,2.7
1982,"[32.612892, -110.776956]",7520.8,1365.7,3.759,172,3.8
1994,"[32.612698, -110.777366]",7564.9,1367.1,3.645,172,2.3
2008,"[32.612442, -110.777821]",7616.2,1367.7,3.7,173,0.6
2015,"[32.612346, -110.778076]",7642.5,1367.7,3.764,174,-0.4
2028,"[32.61222, -110.778592]",7693.1,1367.1,3.893,173,-2.4
2038,"[32.612209, -110.779013]",7732.6,1366.0,3.951,174,-3.3
2049,"[32.612271, -110.779457]",7775.0,1364.4,3.849,174,-3.7
2063,"[32.612445, -110.78002]",7831.2,1362.3,3.979,176,-3.6
2072,"[32.612602, -110.780346]",7866.5,1361.1,3.922,174,-3.2
2083,"[32.612789, -110.780732]",7908.2,1359.9,3.785,175,-2.2
2094,"[32.612977, -110.781126]",7950.7,1359.2,3.865,172,-1.7
2105,"[32.613163, -110.78151]",7992.3,1358.5,3.774,175,-1.9
2114,"[32.613318, -110.781842]",8027.8,1357.7,3.947,178,-2.2
2127,"[32.613542, -110.782303]",8077.7,1356.5,3.739,180,-2.6
2136,"[32.613694, -110.782622]",8112.1,1355.6,3.822,179,-3.0
2150,"[32.613954, -110.783105]",8165.8,1353.7,3.827,179,-3.7
2158,"[32.614134, -110.783369]",8197.7,1352.5,3.979,179,-3.8
2168,"[32.614371, -110.783708]",8238.9,1350.9,4.123,178,-3.9
2178,"[32.614611, -110.784026]",8278.9,1349.3,4.001,178,-4.0
2189,"[32.614896, -110.784325]",8321.2,1347.6,3.84,177,-3.9
2201,"[32.615204, -110.784646]",8366.7,1345.9,3.952,177,-3.7
2213,"[32.615514, -110.78498]",8413.3,1344.2,3.878,176,-3.3
2226,"[32.615844, -110.785315]",8461.5,1342.9,3.676,174,-2.3
2235,"[32.616072, -110.785583]",8497.2,1342.0,3.969,173,-2.3
2247,"[32.616353, -110.785943]",8543.3,1340.9,3.788,174,-2.6
2258,"[32.616609, -110.786274]",8585.3,1339.8,3.824,174,-2.5
2270,"[32.616865, -110.786645]",8630.2,1338.7,3.775,175,-2.3
2278,"[32.617026, -110.786912]",8661.1,1338.0,3.857,175,-2.4
2289,"[32.617243, -110.787289]",8703.8,1336.9,3.89,174,-2.7
2303,"[32.617487, -110.787796]",8758.6,1335.3,3.838,173,-3.1
2315,"[32.617677, -110.788237]",8805.1,1333.8,3.875,173,-3.2
2323,"[32.6178, -110.788538]",8836.4,1332.8,3.911,173,-3.0
2335,"[32.617958, -110.789005]",8883.6,1331.5,3.968,172,-2.8
2345,"[32.618065, -110.789387]",8921.4,1330.3,3.785,173,-3.3
2358,"[32.618209, -110.789894]",8971.7,1328.8,3.921,176,-3.1
2366,"[32.618282, -110.790213]",9002.6,1327.8,3.87,178,-3.0
2380,"[32.61839, -110.790765]",9055.9,1326.3,3.79,178,-2.9
2390,"[32.618459, -110.791162]",9093.9,1325.2,3.802,176,-3.0
2404,"[32.618564, -110.791729]",9148.4,1323.5,3.85,178,-3.1
2412,"[32.618623, -110.79205]",9179.2,1322.6,3.856,175,-2.6
2426,"[32.618731, -110.792612]",9233.3,1321.1,3.838,177,-3.5
2435,"[32.618801, -110.792981]",9268.9,1319.9,3.956,176,-3.6
2447,"[32.618895, -110.793472]",9316.1,1318.2,3.871,177,-3.5
2456,"[32.618952, -110.793817]",9349.1,1317.0,3.672,179,-3.6
2467,"[32.619041, -110.794276]",9393.3,1315.4,4.019,180,-3.6
2478,"[32.61912, -110.794719]",9435.8,1313.9,3.994,179,-3.3
2488,"[32.619188, -110.795108]",9473.1,1312.7,3.725,177,-3.0
2502,"[32.619181, -110.795635]",9523.7,1311.3,3.397,179,-2.1
2551,"[32.619298, -110.795877]",9554.3,1310.3,2.73,159,-3.9
2564,"[32.619377, -110.79648]",9611.6,1308.1,4.374,155,-3.6
2574,"[32.619436, -110.796928]",9654.2,1306.5,4.287,155,-3.5
2582,"[32.61947, -110.797293]",9688.7,1305.4,4.279,160,-3.4
2592,"[32.619511, -110.797731]",9730.0,1303.9,4.103,168,-3.5
2604,"[32.619552, -110.798245]",9778.5,1302.3,4.06,171,-3.3
2614,"[32.619593, -110.79866]",9817.7,1301.0,3.919,171,-2.9
2626,"[32.619625, -110.799155]",9864.3,1299.8,3.884,172,-2.8
2637,"[32.619665, -110.799623]",9908.5,1298.5,4.021,169,-2.8
2648,"[32.619739, -110.800082]",9952.4,1297.3,4.0,168,-3.0
2657,"[32.619834, -110.800437]",9987.4,1296.1,3.887,170,-3.5
2668,"[32.619974, -110.800872]",10031.0,1294.5,4.005,169,-3.1
2678,"[32.620166, -110.801244]",10072.1,1293.3,4.105,168,-2.7
2688,"[32.620404, -110.801571]",10112.6,1292.3,4.052,167,-2.1
2697,"[32.62062, -110.801845]",10147.8,1291.7,3.904,169,-1.9
2710,"[32.620683, -110.802373]",10199.3,1290.5,3.87,169,-2.6
2723,"[32.620558, -110.802888]",10249.5,1289.1,3.858,166,-2.8
2730,"[32.620492, -110.803175]",10277.5,1288.3,3.986,171,-2.7
2743,"[32.620367, -110.803702]",10328.8,1287.0,3.983,170,-2.5
2755,"[32.620267, -110.804202]",10377.1,1285.8,4.015,174,-2.3
2763,"[32.620208, -110.804539]",10409.5,1285.1,4.047,176,-1.9
2774,"[32.620103, -110.805005]",10454.7,1284.3,4.2,174,-1.8
2783,"[32.620021, -110.805363]",10489.5,1283.7,3.866,174,-1.7
2794,"[32.619933, -110.805804]",10532.1,1283.0,3.872,172,-1.9
2808,"[32.619809, -110.806377]",10587.5,1281.8,3.9,172,-2.2
2819,"[32.619712, -110.806797]",10628.5,1280.9,3.719,173,-2.3
2830,"[32.619608, -110.807243]",10671.9,1279.8,3.868,174,-2.7
2840,"[32.619514, -110.807647]",10711.2,1278.7,3.933,173,-2.9
2849,"[32.61944, -110.807998]",10745.1,1277.7,3.769,174,-2.9
2864,"[32.619299, -110.808594]",10803.2,1276.3,3.79,177,-2.4
2871,"[32.619234, -110.808879]",10830.9,1275.5,3.957,172,-3.0
2885,"[32.619113, -110.809429]",10884.3,1273.9,3.781,171,-3.0
2894,"[32.619033, -110.80979]",10919.3,1272.8,3.893,175,-3.1
2906,"[32.61894, -110.810261]",10964.7,1271.4,3.778,172,-3.2
2914,"[32.618867, -110.810588]",10996.5,1270.4,3.966,174,-2.9
2928,"[32.618736, -110.811138]",11050.0,1268.9,3.906,175,-2.8
2940,"[32.618629, -110.8116]",11095.0,1267.7,3.753,174,-2.5
2948,"[32.618559, -110.811917]",11125.8,1267.0,3.844,172,-2.3
2959,"[32.618452, -110.812373]",11170.3,1266.0,4.041,171,-2.3
2971,"[32.618346, -110.812847]",11216.2,1264.9,3.9,169,-2.3
2984,"[32.618226, -110.813368]",11267.0,1263.8,3.818,172,-2.2
2996,"[32.618122, -110.813842]",11312.9,1262.7,3.829,175,-2.4
3002,"[32.618069, -110.814083]",11336.3,1262.1,3.847,175,-2.3
3013,"[32.617968, -110.814515]",11378.3,1261.2,3.822,176,-2.3
3026,"[32.617853, -110.815031]",11428.4,1260.0,3.73,176,-2.3
3037,"[32.617752, -110.815478]",11471.8,1259.0,3.97,177,-2.3
3049,"[32.617646, -110.815969]",11519.4,1257.9,3.967,177,-2.3
3058,"[32.617561, -110.816318]",11553.5,1257.1,3.79,178,-2.3
3068,"[32.617472, -110.816716]",11592.2,1256.2,3.86,178,-2.5
3081,"[32.617351, -110.817238]",11642.9,1254.9,3.781,177,-2.4
3093,"[32.617236, -110.817714]",11689.4,1253.8,3.724,174,-2.3
3104,"[32.617142, -110.818149]",11731.6,1252.8,3.834,176,-2.3
3114,"[32.617046, -110.81855]",11770.7,1251.9,3.911,176,-2.3
3127,"[32.616923, -110.819063]",11820.7,1250.7,3.81,179,-2.2
3138,"[32.616825, -110.819512]",11864.2,1249.8,3.956,179,-2.1
3144,"[32.616771, -110.819757]",11888.0,1249.2,3.968,176,-2.1
3157,"[32.616651, -110.82028]",11938.8,1248.2,3.906,172,-2.2
3170,"[32.616526, -110.8208]",11989.6,1247.1,3.963,172,-2.0
3182,"[32.616424, -110.821281]",12036.2,1246.2,3.884,171,-2.2
3191,"[32.616329, -110.821654]",12072.9,1245.3,4.074,174,-2.3
3203,"[32.61622, -110.82216]",12121.9,1244.3,4.069,181,-2.2
3211,"[32.616149, -110.822478]",12152.8,1243.6,3.865,181,-2.2
3222,"[32.616048, -110.822931]",12196.8,1242.7,3.996,180,-2.1
3232,"[32.615955, -110.823345]",12237.0,1241.9,4.015,178,-2.1
3244,"[32.615847, -110.82383]",12284.1,1240.9,3.927,173,-2.1
3255,"[32.61575, -110.82427]",12326.7,1240.0,3.964,176,-2.3
3265,"[32.615665, -110.824661]",12364.7,1239.2,3.793,173,-2.2
3278,"[32.615537, -110.82519]",12416.3,1238.0,3.973,176,-2.4
3285,"[32.615474, -110.825465]",12443.0,1237.3,3.82,177,-2.4
3298,"[32.615355, -110.82598]",12493.1,1236.1,3.813,178,-2.6
3311,"[32.61524, -110.826501]",12543.6,1234.8,3.887,182,-2.5
3323,"[32.615128, -110.826979]",12590.2,1233.7,3.887,181,-2.4
3333,"[32.615034, -110.827384]",12629.6,1232.7,3.924,180,-2.5
3343,"[32.614945, -110.82779]",12669.0,1231.7,3.933,180,-2.5
3353,"[32.614861, -110.82819]",12707.7,1230.7,3.847,180,-2.6
3362,"[32.614777, -110.82855]",12742.7,1229.8,3.891,179,-2.7
3373,"[32.614673, -110.828991]",12785.7,1228.6,3.907,180,-2.7
3386,"[32.614552, -110.829516]",12836.8,1227.3,3.951,175,-2.7
3396,"[32.614461, -110.829917]",12875.8,1226.2,3.895,174,-2.6
3409,"[32.614346, -110.830443]",12926.8,1224.9,3.956,175,-2.5
3415,"[32.614292, -110.830681]",12949.9,1224.3,3.897,174,-2.6
3428,"[32.614177, -110.831208]",13000.9,1223.0,3.891,175,-2.4
3441,"[32.614057, -110.831727]",13051.5,1222.0,3.9,173,-2.0
3451,"[32.613965, -110.832131]",13090.7,1221.2,3.923,174,-1.7
3461,"[32.613872, -110.83253]",13129.6,1220.7,3.887,174,-1.1
3475,"[32.613744, -110.833095]",13184.5,1220.2,3.939,173,-0.7
3482,"[32.613682, -110.833383]",13212.4,1220.1,3.987,175,-0.6
3494,"[32.613566, -110.833869]",13259.8,1219.7,3.92,174,-0.9
3505,"[32.613469, -110.834319]",13303.4,1219.1,3.985,173,-1.6
3516,"[32.613367, -110.834762]",13346.5,1218.4,3.921,174,-1.8
3526,"[32.613273, -110.835158]",13385.1,1217.6,3.864,176,-2.1
3539,"[32.613155, -110.835679]",13435.7,1216.4,3.91,175,-2.4
3547,"[32.613089, -110.836003]",13467.0,1215.7,3.905,176,-2.4
3562,"[32.612953, -110.836593]",13524.4,1214.1,3.816,175,-2.8
3570,"[32.612878, -110.836898]",13554.2,1213.3,3.72,176,-2.7
3583,"[32.612763, -110.837427]",13605.5,1212.0,3.975,175,-2.7
3591,"[32.612689, -110.837747]",13636.6,1211.1,3.889,174,-2.6
3604,"[32.612574, -110.838263]",13686.7,1209.9,3.871,173,-2.6
3613,"[32.612487, -110.838623]",13721.8,1208.9,3.903,171,-2.7
3628,"[32.612354, -110.83923]",13780.7,1207.4,3.934,170,-2.4
3636,"[32.612288, -110.839548]",13811.4,1206.7,3.838,168,-2.4
3647,"[32.612179, -110.83999]",13854.6,1205.7,3.947,167,-2.3
3656,"[32.612097, -110.840345]",13889.3,1204.9,3.847,166,-2.2
3667,"[32.611985, -110.840787]",13932.5,1204.0,3.935,168,-2.3
3681,"[32.611845, -110.841341]",13986.7,1202.7,3.881,170,-2.2
3693,"[32.611732, -110.841814]",14032.9,1201.7,3.848,171,-2.3
3701,"[32.611651, -110.842127]",14063.7,1200.9,3.844,171,-2.3
3714,"[32.611519, -110.842633]",14113.4,1199.8,3.884,170,-2.0
3723,"[32.611426, -110.842993]",14148.8,1199.1,3.927,170,-2.2
3735,"[32.611295, -110.843479]",14196.6,1198.0,3.989,171,-2.4
